"fecha_deposito","numero_expediente","importe_aprobado","nombre_hospital","codigo_refes","id_provincia","provincia"
"2018-01-05","10972/2016",832,"HOSPITAL ZONAL GENERAL DE AGUDOS SAN FELIPE",1.00676e+13,6,"BUENOS AIRES"
"2018-01-05","11013/2016",748,"HOSPITAL LOCAL GENERAL DE AGUDOS DR. ARTURO MELO",1.00643e+13,6,"BUENOS AIRES"
"2018-01-05","11017/2016",1053,"HOSPITAL LOCAL GENERAL DE AGUDOS DR. ARTURO MELO",1.00643e+13,6,"BUENOS AIRES"
"2018-01-05","21551/2017",2915,"HOSPITAL INTERZONAL GENERAL DE AGUDOS DR. FIORITO",1.00604e+13,6,"BUENOS AIRES"
"2018-01-05","21818/2017",5777,"HOSPITAL ZONAL ESPECIALIZADO EN ONCOLOGIA LUCIANO FORTABAT",1.4066e+13,6,"BUENOS AIRES"
"2018-01-05","22094/2016",12276,"COLONIA NACIONAL DR. MANUEL A. MONTE DE OCA",1.3065e+13,6,"BUENOS AIRES"
"2018-01-05","22415/2017",10939.5,"HOSPITAL NACIONAL PROFESOR ALEJANDRO POSADAS",1.00657e+13,6,"BUENOS AIRES"
"2018-01-05","22646/2017",11267.5,"HOSPITAL NACIONAL PROFESOR ALEJANDRO POSADAS",1.00657e+13,6,"BUENOS AIRES"
"2018-01-05","25150/2017",158,"CAPS LA RIBERA",5.00676e+13,6,"BUENOS AIRES"
"2018-01-05","26405/2017",7000,"HOSPITAL ESPECIALIZADO MATERNO INFANTIL ANA GOITIA",1.20604e+13,6,"BUENOS AIRES"
"2018-01-05","26979/2017",41177,"HOSPITAL MUNICIPAL DE TIGRE",1.00681e+13,6,"BUENOS AIRES"
"2018-01-05","27861/2017",4666,"HOSPITAL SUBZONAL DR. ENRIQUE ERILL",1.00625e+13,6,"BUENOS AIRES"
"2018-01-05","27863/2017",528,"HOSPITAL SUBZONAL DR. ENRIQUE ERILL",1.00625e+13,6,"BUENOS AIRES"
"2018-01-05","27864/2017",792,"HOSPITAL SUBZONAL DR. ENRIQUE ERILL",1.00625e+13,6,"BUENOS AIRES"
"2018-01-05","28307/2016",5833.5,"HOSPITAL INTERZONAL GENERAL DE AGUDOS SAN JOSE",1.00662e+13,6,"BUENOS AIRES"
"2018-01-05","29428/2017",7000,"HOSPITAL INTERZONAL ESPECIALIZADO NEUROPSIQUIATRICO DR. ALEJANDRO KORN",1.30644e+13,6,"BUENOS AIRES"
"2018-01-05","29446/2017",12432,"HOSPITAL INTERZONAL GENERAL DE AGUDOS PRESIDENTE PERON",1.00604e+13,6,"BUENOS AIRES"
"2018-01-05","29554/2017",14000,"HOSPITAL ZONAL GENERAL DE AGUDOS GENERAL MANUEL BELGRANO",1.00637e+13,6,"BUENOS AIRES"
"2018-01-05","29945/2017",187246.21,"HOSPITAL NACIONAL PROFESOR ALEJANDRO POSADAS",1.00657e+13,6,"BUENOS AIRES"
"2018-01-05","30211/2017",5737,"HOSPITAL MUNICIPAL DE SAN ISIDRO",1.00676e+13,6,"BUENOS AIRES"
"2018-01-05","30817/2017",8399,"C.A.P.S. CARUPA",5.00681e+13,6,"BUENOS AIRES"
"2018-01-05","30819/2017",14408,"C.A.P.S. CARUPA",5.00681e+13,6,"BUENOS AIRES"
"2018-01-05","30831/2017",132696,"CENTRO DE SALUD DE DON TORCUATO",5.00681e+13,6,"BUENOS AIRES"
"2018-01-05","30833/2017",38174,"HOSPITAL MUNICIPAL ODONTOLOGICO RICARDO GUARDO",1.40681e+13,6,"BUENOS AIRES"
"2018-01-05","31040/2017",4886.64,"HOSPITAL ZONAL GENERAL DE AGUDOS MI PUEBLO",1.00627e+13,6,"BUENOS AIRES"
"2018-01-05","31185/2017",21087.17,"HOSPITAL MUNICIPAL DE TRAUMA Y EMERGENCIAS DR. FEDERICO ALBERTO ABETE",5.00652e+13,6,"BUENOS AIRES"
"2018-01-05","31218/2017",3860,"HOSPITAL MUNICIPAL DE OFTALMOLOGIA MALVINAS ARGENTINAS",1.40652e+13,6,"BUENOS AIRES"
"2018-01-05","31220/2017",557,"HOSPITAL MUNICIPAL DE OFTALMOLOGIA MALVINAS ARGENTINAS",1.40652e+13,6,"BUENOS AIRES"
"2018-01-05","31221/2017",416,"HOSPITAL MUNICIPAL DE OFTALMOLOGIA MALVINAS ARGENTINAS",1.40652e+13,6,"BUENOS AIRES"
"2018-01-05","31222/2017",1101,"HOSPITAL MUNICIPAL DE OFTALMOLOGIA MALVINAS ARGENTINAS",1.40652e+13,6,"BUENOS AIRES"
"2018-01-05","31223/2017",1309,"HOSPITAL MUNICIPAL DE OFTALMOLOGIA MALVINAS ARGENTINAS",1.40652e+13,6,"BUENOS AIRES"
"2018-01-05","31224/2017",1101,"HOSPITAL MUNICIPAL DE OFTALMOLOGIA MALVINAS ARGENTINAS",1.40652e+13,6,"BUENOS AIRES"
